element,level,t,r,theta,phi,Interval size
0,0,0.0,0.0,0,0,7854
1,1,0.07298944477454383,0.03321813510444567,0.4516124832621671,0.9596091194652886,7854
6,1,0.09781287182379472,0.08237206184970997,0.9471637281117633,1.8727479190073568,7854
41,2,0.15564798289193782,0.0903263968162361,0.8076683002042939,1.4031643697031397,7854
79,3,0.1851332704009323,0.09487010748902437,0.5131599427375708,1.4587080344477887,7854
110,4,0.20498795350808896,0.10903244871296275,0.5372918558306214,1.3506676588150026,7854
234,5,0.24908475059739654,0.11282134641697887,0.6765898320114676,1.109928845712653,7854
442,6,0.2907719674254209,0.12673392754571458,0.6957826718064218,1.0639001421500027,7854
546,6,0.3029978117630906,0.16063988059689163,0.8556492230012798,1.1862667190957947,7854
572,7,0.30652537741496555,0.12499059209585837,0.7026602504591248,1.0611135771246387,7854
829,7,0.3351889872651469,0.14360640514506517,1.0029795618778938,1.1704288846663249,7854
1192,8,0.3658183469785401,0.13876449774787875,0.5191836580606822,1.3682124457967009,7854
1438,8,0.3867312199420103,0.10810549789737887,0.7002125345673008,1.4364527099235136,7854
1488,8,0.3903737739882991,0.1098190999926637,0.8456570578772289,1.4136759506610217,7854
2161,9,0.4293084135147046,0.10772528354804815,0.8000068890595429,1.2568647542003684,7854
2908,10,0.46430885402194255,0.10446543354492313,0.7455892803744999,1.4452983690242347,7854
3194,10,0.47658710271321425,0.12990551110262724,0.5519077062410186,1.2464264369241544,7854
3611,10,0.49038901441112037,0.15318977704745934,0.5447698097206072,1.3263722363428898,7854
4372,11,0.5149626921899613,0.08178501126358854,0.9183595606939525,1.2174923331194554,7854
4921,11,0.5361097536359327,0.13124869489777025,1.0183721868932516,1.1565539610381903,7854
5329,11,0.5530618550953544,0.14056748798776136,0.4228459546667543,1.5978757130115715,7854
5977,11,0.5839247839462405,0.15997510487428854,0.5793558544185723,2.1863321428881957,7854
5760,12,0.5729799410690437,0.0808457729520452,1.1351324320040446,1.3368457245634118,7854
5883,12,0.5790223736298701,0.10080331047538127,1.232333240686082,1.1452460471676726,7854
5999,12,0.5853079715085103,0.1461440843100839,0.5082093966531483,1.4852491148933473,7854
6368,12,0.6072532708851351,0.1534860216599905,0.554800195722188,2.1192704638435824,7854
6688,13,0.6292542442150086,0.04531342055198084,1.3666378040499356,1.667830984465969,7854
6709,13,0.6318648409851788,0.12013109511165361,1.1004023919304688,0.7774209708457489,7854
6823,13,0.6406242733568708,0.07156564210685325,0.8514897580025881,2.095437527083192,7854
6989,13,0.6568702264427416,0.12647405013127136,0.6570268116620013,1.96225376773196,7854
7182,14,0.6771401923128196,0.05096852125978618,1.9507270658186988,2.245070489874237,7854
7299,14,0.6926704458046369,0.08430719084481134,0.615884043508757,1.7803585747191242,7854
7312,14,0.6942285107254172,0.09617631998552856,0.3445601033652944,0.6281331443046858,7854
7407,14,0.7114105346903868,0.11693894630002721,1.2351454824436325,0.19751319493572891,7854
7412,14,0.7128665278523857,0.036744881034087545,-1.2733038414504083,2.064860025171854,7854
7498,14,0.7296477047732316,0.12296122126245351,1.4393367482883286,2.279159959828934,7854
7534,14,0.7370685586125039,0.09727472052707063,1.1330015122254231,2.182109866949661,7854
7549,15,0.738913300080754,0.07040302127176935,2.738419061590554,1.7951798790816227,7854
7561,15,0.7403558995959593,0.11766674539216493,0.3545947320187357,1.6129944358403288,7854
7583,15,0.7457895702587013,0.1318163078817219,0.14656585888196152,0.7867402479829033,7854
7597,15,0.7491146469229314,0.04790389302310853,-2.82538291460657,2.297954513404816,7854
7617,15,0.7528000077227334,0.094900381913824,1.8858843893828863,2.2839742523338518,7854
7622,15,0.7541957316474218,0.05465427015538724,-1.6584281646288876,1.8640314429541203,7854
7645,15,0.7634243730549853,0.07761974895302685,1.7335101048512958,2.2910097297684966,7854
7649,15,0.7648914477180936,0.12479984197670733,0.3515145991448673,0.46997059094473886,7854
7651,15,0.7650511556894001,0.0513784238782681,2.540106750391934,2.1196089459956666,7854
7656,15,0.7671634874642265,0.07381738405882697,0.6709353814400392,0.5349810283343643,7854
7673,15,0.7747725403297331,0.045818685659631306,0.33546360528375463,0.8867943079930664,7854
7684,15,0.7775203127009769,0.12557893869239606,0.5861343070744556,0.5321862822387978,7854
7710,15,0.7868927065267265,0.08076794743832691,1.1699220949831768,2.4862957689972833,7854
7729,16,0.7946512132483771,0.13467629225499542,0.319025076218602,0.8553103479887892,7854
7732,16,0.7971859203290074,0.0771898109699272,0.6290799577958333,1.3526313160191723,7854
7782,16,0.819878380720455,0.01778999289284556,-1.704544114255641,2.168860821350131,7854
7788,16,0.8237087846186539,0.09192735522658183,1.5515793064695236,2.06085310293181,7854
7791,16,0.8275818802801054,0.09898113126326268,1.454230153218085,2.326259944079772,7854
7799,16,0.8307974462564652,0.0854067574412916,0.5582568730642337,0.42594302751885643,7854
7801,16,0.8315657230894994,0.0847236330904378,0.5979762173177333,2.351076785580077,7854
7804,16,0.8341530935644241,0.033614953817270435,-2.9120702211076894,2.807449411962422,7854
7831,17,0.8690176986883638,0.0639856121237729,0.5034130413468091,0.9624655188488271,7854
7834,17,0.8762654010070261,0.06836541197357965,0.8205859710095089,0.8434860698925892,7854
